Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Location,Lead time,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Costs,Demand Forecast
haircare,SKU0,69.80800554211577,55,802,8661.996792392383,58,7,96,4,Carrier B,2.956572139430807,Mumbai,29,215,29,46.27987924050832,Pending,0.2264103608499251,Road,187.75207545920392,842
skincare,SKU1,14.84352327508434,95,736,7460.900065445849,53,30,37,2,Carrier A,9.71657477143131,Mumbai,23,517,30,33.61676895373,Pending,4.854068026388706,Road,503.0655791496692,699
haircare,SKU2,11.319683293090566,34,8,9577.74962586873,1,10,88,2,Carrier B,8.054479261732155,Mumbai,12,971,27,30.688019348284204,Pending,4.580592619199229,Air,141.92028177151906,8
skincare,SKU3,61.163343016437736,68,83,7766.836425685233,23,13,59,6,Carrier C,1.7295685635434288,Kolkata,24,937,18,35.62474139712503,Fail,4.74664862064775,Rail,254.77615921928663,83
skincare,SKU4,4.805496036345893,26,871,2686.505151567447,5,3,56,8,Carrier A,3.890547915870672,Delhi,5,414,3,92.06516059871284,Fail,3.145579522833002,Air,923.4406317119222,871
haircare,SKU5,1.6999760138659377,87,147,2828.348745975759,90,27,66,3,Carrier B,4.444098864382293,Bangalore,10,104,17,56.7664755574318,Fail,2.7791935115711617,Road,235.4612367355375,147
skincare,SKU6,4.078332863107945,48,65,7823.476559531737,11,15,58,8,Carrier C,3.880763302952003,Kolkata,14,314,24,1.0850685695870688,Pending,1.0009106193041355,Sea,134.36909686103172,62
cosmetics,SKU7,42.95838438246007,59,426,8496.103813089838,93,17,11,1,Carrier B,2.3483387844177805,Bangalore,22,564,1,99.46610860359912,Fail,0.3981771868506506,Road,802.0563118175586,426
cosmetics,SKU8,68.71759674852733,78,150,7517.363210631127,5,10,15,7,Carrier C,3.4047338570830266,Mumbai,13,769,8,11.423027139565695,Pending,2.709862691109961,Sea,505.55713422546415,150
skincare,SKU9,64.01573294127854,35,980,4971.145987585558,14,27,83,1,Carrier A,7.166645291048216,Chennai,29,963,23,47.95760163495158,Pending,3.844614478767585,Rail,995.9294614986416,882
skincare,SKU10,15.707795681912138,11,996,2330.965802091949,51,13,80,2,Carrier C,8.673211211278613,Kolkata,18,830,5,96.52735278531092,Pass,1.7273139283559424,Road,806.103177702923,896
skincare,SKU11,90.63545998228868,95,960,6099.944115581452,46,23,60,1,Carrier A,4.523943124316663,Kolkata,28,362,11,27.592363086663696,Pending,0.0211698213729943,Air,126.72303340940724,912
haircare,SKU12,71.21338907536008,41,336,2873.7414460214413,100,30,85,4,Carrier A,1.325274010184522,Kolkata,3,563,3,32.32128621342403,Fail,2.161253747555912,Road,402.9687890737706,302
skincare,SKU13,16.160393317379977,5,249,4052.738416237866,80,8,48,9,Carrier A,9.537283061108338,Bangalore,23,173,10,97.82905011017328,Pending,1.6310742300715386,Road,547.2410051609685,237
skincare,SKU14,99.1713286386242,26,562,8653.570926469802,54,29,78,5,Carrier B,2.039770189449332,Kolkata,25,558,14,5.791436629862989,Pending,0.1006828515650937,Air,929.2352899608896,506
skincare,SKU15,36.98924492862691,94,469,5442.086785397673,9,8,69,7,Carrier B,2.4220397232752044,Bangalore,14,580,7,97.12128175147431,Pass,2.264405761198549,Sea,127.8618000016254,492
skincare,SKU16,7.547172109791272,74,280,6453.797968176285,2,5,78,1,Carrier B,4.191324585705502,Bangalore,3,399,21,77.10634249785001,Pass,1.012563089258049,Air,865.5257797712403,294
cosmetics,SKU17,81.46253436923702,82,126,2629.396434845262,45,17,85,9,Carrier C,3.585418958232342,Chennai,7,453,16,47.679680368355335,Fail,0.1020207549181761,Air,670.9343907924103,126
haircare,SKU18,36.443627770460935,23,620,9364.673505076173,10,10,46,8,Carrier C,4.339224714110709,Kolkata,18,374,17,27.10798085484392,Pending,2.231939110729264,Sea,593.4802587206518,589
skincare,SKU19,51.12387008796474,100,187,2553.495584991215,48,11,94,3,Carrier A,4.742635882841877,Chennai,20,694,16,82.37332058799021,Fail,3.646450865417029,Road,477.3076310909034,187
skincare,SKU20,96.34107243996338,22,320,8128.027696851192,27,12,68,6,Carrier A,8.87833465092684,Chennai,29,309,6,65.68625960848863,Pass,4.231416573534539,Air,493.87121531620585,304
cosmetics,SKU21,84.89386898495083,60,601,7087.052696357437,69,25,7,6,Carrier B,6.037883769218298,Chennai,19,791,4,61.73572895416093,Pending,0.0186075676310149,Air,523.360914720158,571
haircare,SKU22,27.67978088650196,55,884,2390.8078665561734,71,1,63,10,Carrier A,9.56764892092304,Kolkata,22,780,28,50.12083961297735,Fail,2.591275473211116,Rail,205.57199582694707,928
cosmetics,SKU23,4.324341185864164,30,391,8858.367571011484,84,5,29,7,Carrier A,2.924857601145554,Kolkata,11,568,29,98.60995724270389,Pending,1.342291562722734,Rail,196.32944611241268,391
haircare,SKU24,4.156308359311108,32,209,9049.077860939897,4,26,2,8,Carrier C,9.741291689284369,Bangalore,28,447,3,40.382359702924816,Pending,3.691310292628728,Air,758.7247726029383,188
haircare,SKU25,39.62934398509263,73,142,2174.777054350654,82,11,52,3,Carrier C,2.231073681281728,Kolkata,19,934,23,78.28038311841539,Pending,3.797231217114183,Road,458.535945739209,149
haircare,SKU26,97.44694661789282,9,353,3716.493325894037,59,16,48,4,Carrier B,6.507548621078551,Bangalore,26,171,4,15.97222975718176,Pass,2.119319736724923,Rail,617.8669164583772,318
cosmetics,SKU27,92.55736081240202,42,352,2686.457223575984,47,9,62,8,Carrier C,7.406750952998074,Mumbai,25,291,4,10.528245070042162,Fail,2.864667837883373,Sea,762.4591821556837,352
cosmetics,SKU28,2.397274705597141,12,394,6117.324615083992,48,15,24,4,Carrier B,9.898140508069222,Mumbai,13,171,7,59.42938181069157,Fail,0.815757079295672,Air,123.43702751182708,355
cosmetics,SKU29,63.44755918520733,3,253,8318.903194617178,45,5,67,7,Carrier B,8.100973145397031,Kolkata,16,329,7,39.29287558606575,Pass,3.878098936588488,Road,764.9353759407081,240
haircare,SKU30,8.022859210526393,10,327,2766.342366866089,60,26,35,7,Carrier B,8.954528315318015,Kolkata,27,806,30,51.63489340010933,Pending,0.9653947053523932,Road,880.080988247161,278
skincare,SKU31,50.8473930517187,28,168,9655.135102719398,6,17,44,4,Carrier B,2.6796609649814065,Chennai,24,461,8,60.25114566159808,Pending,2.9890000066550746,Rail,609.3792066184267,160
skincare,SKU32,79.20993601565672,43,781,9571.55048732782,89,13,64,4,Carrier C,6.599104901238584,Kolkata,30,737,7,29.69246715374977,Pass,1.946036119386113,Road,761.1739095148776,742
cosmetics,SKU33,64.7954350001556,63,616,5149.9983504080365,4,17,95,9,Carrier C,4.85827050343664,Chennai,1,251,23,23.853427512896133,Fail,3.541046012250923,Sea,371.255295519871,616
skincare,SKU34,37.46759232984246,96,602,9061.710895507724,1,26,21,7,Carrier A,1.019487570822119,Chennai,4,452,10,10.754272815029331,Pass,0.6466045593720549,Road,510.3580004335235,572
cosmetics,SKU35,84.95778681635043,11,449,6541.329344802465,42,27,85,8,Carrier C,5.288189990327409,Delhi,3,367,2,58.004787044743765,Pass,0.5411540980605811,Sea,553.4204712303558,382
skincare,SKU36,9.813002578754052,34,963,7573.402457848733,18,23,28,3,Carrier B,2.107951267159081,Delhi,26,671,19,45.531364237162144,Fail,3.8055333792433537,Air,403.8089742481805,867
skincare,SKU37,23.39984475261435,5,963,2438.339930470029,25,8,21,9,Carrier A,1.5326552735904306,Kolkata,24,867,15,34.34327746507538,Pending,2.610288084848113,Sea,183.9329680435944,915
cosmetics,SKU38,52.0759306827078,75,705,9692.318040218432,69,1,88,5,Carrier B,9.235931437249228,Mumbai,10,841,12,5.930693645528318,Pending,0.6133268991645074,Air,339.6728699486061,740
skincare,SKU39,19.127477265823256,26,176,1912.4656631007608,78,29,34,3,Carrier A,5.562503778830384,Kolkata,30,791,6,9.005807428781642,Fail,1.451972203996816,Air,653.6729945520332,158
skincare,SKU40,80.54142417094033,97,933,5724.959350456265,90,20,39,8,Carrier C,7.229595139736474,Kolkata,18,793,1,88.17940710421746,Pending,4.213269430586566,Road,529.8087239806919,933
skincare,SKU41,99.11329161531717,35,556,5521.205259010972,64,19,38,8,Carrier B,5.773263743766654,Chennai,18,892,7,95.3320645487725,Fail,0.0453022623982596,Sea,275.5243711313098,528
skincare,SKU42,46.52916761451677,98,155,1839.609425856764,22,27,57,4,Carrier C,7.526248326851508,Bangalore,26,179,7,96.42282063957188,Fail,4.939255288620948,Road,635.6571205019919,147
haircare,SKU43,11.74327177630924,6,598,5737.425599119023,36,29,85,9,Carrier B,3.6940212683884543,Mumbai,1,206,23,26.27736595733241,Pending,0.3723047679850977,Air,716.0441197593407,508
cosmetics,SKU44,51.35579091311039,34,919,7152.2860494355145,13,19,72,6,Carrier C,7.577449657376693,Delhi,7,834,18,22.554106620887744,Fail,2.962626320454882,Rail,610.4532696192277,873
haircare,SKU45,33.78413803306551,1,24,5267.956807510521,93,7,52,6,Carrier B,5.21515500871191,Chennai,25,794,25,66.31254443999165,Pass,3.219604612084106,Rail,495.305697028474,26
haircare,SKU46,27.0822071998889,75,859,2556.767360633596,92,29,6,8,Carrier B,4.070955837084083,Chennai,18,870,23,77.32235321105162,Pending,3.6486105925362033,Road,380.4359371119643,816
skincare,SKU47,95.71213588093607,93,910,7089.474249934186,4,15,51,9,Carrier B,8.97875075594997,Kolkata,10,964,20,19.712992911293647,Pending,0.3805735867132137,Rail,581.6023550505868,910
haircare,SKU48,76.03554442689172,28,29,7397.07100458718,30,16,9,3,Carrier C,7.0958331565551385,Mumbai,9,109,18,23.126363582464776,Fail,1.6981125407144038,Rail,768.65191395437,29
